BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,EAST,1908,1.0,7,76631,0.0,0.366556,0.633444,0.0,7258758.5,94.69999695,262.75,3.43
NonResidential,Mixed Use Property,EAST,1983,1.0,6,99780,0.093616,0.655674,0.0,0.344326,15473117.0,204.5,481.97,4.83
NonResidential,Retail Store,LAKE UNION,1929,1.0,2,58320,0.0,0.344657,0.655343,0.0,1049748.625,14.60000038,39.06,0.67
NonResidential,Large Office,LAKE UNION,2010,1.0,5,316306,0.0,0.932961,0.067039,0.0,13795954.0,48.0,138.85,0.44
NonResidential,Hotel,LAKE UNION,1990,1.0,7,282863,0.15826,0.564288,0.435712,0.0,19459304.0,82.5,526.85,1.86
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0.0,0.609458,0.029109,0.257541,23658978.0,64.30000305,607.41,1.56
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,91213,0.0,0.461128,0.0,0.506087,8141155.5,125.1999969,344.2,3.77
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1938,1.0,5,396085,0.0,0.34609,0.0,0.465935,20955026.0,75.19999695,804.2,2.03
NonResidential,Large Office,LAKE UNION,2010,1.0,12,571329,0.0,0.813167,0.186833,0.0,39605888.0,63.40000153,617.52,1.08
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,2,52000,0.0,0.474385,0.0,0.441019,2726369.0,52.40000153,101.83,1.96
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,1,60696,0.0,1.0,0.0,0.0,875943.3125,8.100000381,6.11,0.1
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,2,262048,0.0,0.652054,0.0,0.247896,20723248.0,70.0,490.73,1.87
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,0.0,2,66240,0.035507,1.0,0.0,0.0,4166306.25,74.90000153,29.04,0.44
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2010,1.0,6,920598,0.329902,0.752645,0.247355,0.0,36667044.0,49.79999924,674.09,0.73
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1970,1.0,4,76213,0.340231,0.847098,0.152902,0.0,3476212.5,68.19999695,48.76,0.64
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2002,1.0,6,96910,0.381116,0.511488,0.488512,0.0,5155568.5,86.0,152.14,1.57
NonResidential,Hotel,NORTHEAST,1962,2.0,4,50017,0.0,0.390588,0.609412,0.0,5448975.0,108.9000015,191.2,3.82
NonResidential,K-12 School,EAST,1923,1.0,3,67743,0.0,0.50542,0.49458,0.0,2646879.0,39.09999847,78.85,1.16
NonResidential,K-12 School,EAST,1908,1.0,6,194104,0.0,0.303528,0.696473,0.0,6219841.5,32.0,243.23,1.25
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,2003,1.0,3,99433,0.359559,1.0,0.0,0.0,4897760.0,76.90000153,34.14,0.34
NonResidential,Other,NORTHEAST,1941,1.0,4,56521,0.0,1.0,0.0,0.0,6357632.0,129.6999969,44.32,0.78
NonResidential,Other,NORTHEAST,1929,1.0,2,206934,0.0,0.470452,0.529548,0.0,4253577.5,35.70000076,133.58,0.65
NonResidential,Hotel,NORTHWEST,2001,1.0,4,51390,0.0,0.387173,0.612827,0.0,3611538.0,70.30000305,127.29,2.48
SPS-District K-12,K-12 School,NORTHWEST,1959,1.0,1,245587,0.0,0.333683,0.666317,0.0,11765682.0,47.90000153,443.73,1.81
NonResidential,Hotel,NORTHWEST,2002,1.0,3,69138,0.0,0.556025,0.443974,0.0,3242458.0,45.90000153,89.02,1.29
NonResidential,Hotel,DOWNTOWN,1904,1.0,5,190980,0.0,0.676747,0.323253,0.0,6505995.0,34.09999847,142.39,0.75
Nonresidential COS,Other,DOWNTOWN,1998,1.0,6,284100,0.0,0.669537,0.036017,0.294446,14641502.0,77.19999695,429.12,1.51
NonResidential,Hospital,BALLARD,1954,4.0,5,285333,0.0,0.517504,0.482496,0.0,68090728.0,225.0,1990.5,6.98
Nonresidential COS,Other,DOWNTOWN,2006,1.0,4,61156,0.0,0.741962,0.258038,0.0,9363374.0,130.1000061,176.75,2.89
NonResidential,Other,DOWNTOWN,1910,1.0,4,72820,0.189783,0.652424,0.347576,0.0,2010454.625,34.70000076,46.26,0.64
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1996,1.0,4,162222,0.087534,0.528185,0.471815,0.0,7946961.0,69.90000153,228.4,1.41
NonResidential,University,EAST,1915,1.0,3,63330,0.0,0.62458,0.37542,0.0,3059758.0,47.20000076,74.33,1.17
Campus,University,DELRIDGE,1970,27.0,2,441071,0.0,0.660925,0.339075,0.0,38301744.0,79.30000305,866.23,1.96
NonResidential,Small- and Mid-Sized Office,NORTHEAST,2002,1.0,2,96300,0.0,0.85624,0.14376,0.0,16319835.0,167.8000031,222.02,2.31
Nonresidential COS,Other,GREATER DUWAMISH,1950,1.0,1,67356,0.0,0.559422,0.440578,0.0,7475577.5,109.4000015,204.08,3.03
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1958,1.0,1,54765,0.0,0.839179,0.160821,0.0,4253369.5,83.80000305,61.21,1.12
NonResidential,Other,GREATER DUWAMISH,2009,1.0,5,89821,0.0,0.034594,0.965406,0.0,1950092.5,21.89999962,100.46,1.12
NonResidential,University,MAGNOLIA / QUEEN ANNE,1980,1.0,2,52611,0.0,0.602223,0.397777,0.0,4116871.5,78.30000305,104.26,1.98
NonResidential,Residence Hall,MAGNOLIA / QUEEN ANNE,2001,1.0,4,139600,0.268625,0.520682,0.479318,0.0,4448582.5,32.79999924,129.39,0.93
SPS-District K-12,K-12 School,NORTH,2011,1.0,2,236758,0.0,0.573235,0.426764,0.0,8355988.5,35.0,222.78,0.94
NonResidential,Other,CENTRAL,1971,3.0,6,250981,0.0,0.623867,0.044384,0.331749,13071700.0,60.5,422.39,1.68
NonResidential,Other,DOWNTOWN,2004,1.0,11,299070,0.228816,0.469132,0.530868,0.0,65336980.0,261.2999878,2055.82,6.87
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,2007,1.0,3,64015,0.0,0.819654,0.180346,0.0,3242077.75,60.0,49.58,0.77
NonResidential,Retail Store,NORTH,1951,1.0,1,530039,0.0,0.585363,0.414637,0.0,27717034.0,52.29999924,723.47,1.36
NonResidential,Other,NORTH,1964,1.0,3,54224,0.0,0.460392,0.539608,0.0,7265178.0,154.5,231.53,4.27
NonResidential,Retail Store,NORTH,1965,1.0,4,124342,0.0,0.987183,0.012817,0.0,8765978.0,71.90000153,66.3,0.53
NonResidential,Hospital,NORTHEAST,1953,6.0,10,879000,0.0,0.455581,0.544419,0.0,253832464.0,288.7999878,8145.52,9.27
NonResidential,Other,NORTHWEST,1996,1.0,3,55442,0.0,0.582642,0.417357,0.0,3191228.25,85.59999847,83.7,1.51
NonResidential,Self-Storage Facility,EAST,1910,1.0,5,84870,0.0,0.349333,0.650667,0.0,1381590.125,16.20000076,51.11,0.6
Campus,University,NORTHWEST,1970,11.0,2,694072,0.160826,0.931999,0.068001,0.0,35891484.0,53.79999924,362.82,0.52
NonResidential,Warehouse,GREATER DUWAMISH,1904,1.0,4,114297,0.0,0.434492,0.565508,0.0,2100097.75,18.39999962,69.44,0.61
NonResidential,Warehouse,GREATER DUWAMISH,1937,1.0,1,234144,0.0,0.195248,0.804752,0.0,6744317.0,28.79999924,297.43,1.27
NonResidential,Retail Store,DELRIDGE,1966,1.0,1,64984,0.0,0.887712,0.112288,0.0,2944296.25,45.0,35.78,0.55
NonResidential,Retail Store,DELRIDGE,1965,1.0,1,67745,0.0,0.284295,0.715705,0.0,9230223.0,136.1999969,369.14,5.45
SPS-District K-12,K-12 School,DELRIDGE,2010,1.0,2,367884,0.0,0.66895,0.33105,0.0,12265516.0,33.29999924,272.85,0.74
NonResidential,Other,BALLARD,1973,1.0,3,56000,0.0,0.456372,0.543627,0.0,1851260.5,33.09999847,59.34,1.06
NonResidential,Self-Storage Facility,SOUTHWEST,1969,1.0,2,52088,0.0,0.380223,0.619777,0.0,1377519.5,26.39999962,48.99,0.94
