BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
NonResidential,Other,DOWNTOWN,1930,1.0,2,67224,0.0,1.0,0.0,0.0,1310236.625,19.5,9.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NonResidential,Hotel,EAST,1991,1.0,8,158676,0.190961,0.107414,0.892586,0.0,5328051.5,45.5,256.57,1.62,0.0,0.0,0.2646903123345686,0.7101010864907106,0.0,0.0,0.0,0.0,0.0,0.028359676321560917,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,2001,1.0,10,171866,0.222737,0.507209,0.492791,0.0,11061916.0,85.80000305,328.63,1.91,0.0,0.0,0.0,0.7500552756217053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1978,1.0,5,68410,0.236807,0.526475,0.473525,0.0,4456714.5,92.90000153,128.44,1.88,0.0,0.0,0.0,0.7015640988159626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1906,1.0,3,87262,0.0,0.326307,0.673693,0.0,4145920.5,61.5,157.77,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20802869519378422,0.0,0.0,0.46919621370126746,0.04935710847791708
NonResidential,Hotel,NORTHEAST,1994,1.0,4,81871,0.0,0.452331,0.547669,0.0,6668568.5,81.5,215.0,2.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Self-Storage Facility,NORTHEAST,1955,1.0,2,110356,0.0,0.883468,0.116533,0.0,318364.8125,12.10000038,3.93,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376400014498532
Campus,Mixed Use Property,GREATER DUWAMISH,1992,1.0,3,494835,0.0,0.335596,0.664404,0.0,448385312.0,221.6999969,16870.98,34.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9290935362292482,0.0,0.0,0.0,1.5298574272232157,1.2932209726474482
NonResidential,Warehouse,GREATER DUWAMISH,1961,3.0,2,714095,0.0,1.0,0.0,0.0,44731160.0,46.40000153,311.84,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626303222960531,0.0,0.0,0.0,0.09942654688801911,0.3865031963534264
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1990,1.0,2,54986,0.0,0.737808,0.262192,0.0,1650279.25,30.0,31.47,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
