BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,DOWNTOWN,1927,1.0986122886681096,2.6390573296152584,11.39003440554511,0.6931471805599453,0.54606,0.176638,0.8229914089413046,7226362.5,81.69999695,249.98,2.83
NonResidential,Hotel,DOWNTOWN,1996,1.0986122886681096,2.5649493574615367,11.547983680785292,0.7633507188939513,0.386609,0.613391,0.6931471805599453,8387933.0,94.80000305,295.86,2.86
NonResidential,Hotel,DOWNTOWN,1969,1.0986122886681096,3.7612001156935624,13.770630339983164,0.7910666803985961,0.682307,0.020579,0.8316531170986008,72587024.0,96.0,2089.28,2.19
NonResidential,Hotel,DOWNTOWN,1926,1.0986122886681096,2.4849066497880004,11.023893948239907,0.6931471805599453,0.407519,0.266567,0.8441126501295411,6794584.0,110.8000031,286.43,4.67
NonResidential,Hotel,DOWNTOWN,1980,1.0986122886681096,2.995732273553991,12.075861449234324,0.8557399823290968,0.378802,0.621198,0.6931471805599453,14172606.0,114.8000031,505.01,2.88
Nonresidential COS,Other,DOWNTOWN,1999,1.0986122886681096,1.3862943611198906,11.485451487969472,0.8680869757339214,0.609884,0.390116,0.6931471805599453,12086616.0,136.1000061,301.81,3.1
NonResidential,Hotel,DOWNTOWN,1926,1.0986122886681096,2.5649493574615367,11.326716361449082,0.6931471805599453,0.48816,0.51184,0.6931471805599453,5758795.0,70.80000305,176.14,2.12
NonResidential,Other,DOWNTOWN,1926,1.0986122886681096,2.3025850929940455,11.54018064503668,0.6931471805599453,0.577418,0.061159,0.8592644034281938,6298131.5,61.29999924,221.51,2.16
NonResidential,Hotel,DOWNTOWN,1904,1.0986122886681096,2.833213344056216,12.007536337308805,0.6931471805599453,0.53177,0.46823,0.6931471805599453,13723820.0,83.69999695,392.16,2.39
NonResidential,Hotel,DOWNTOWN,1969,1.0986122886681096,2.5649493574615367,11.939271050657748,0.7541820711458144,0.386325,0.286692,0.8445725787498507,16016644.0,119.5999985,691.26,4.51
