BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Other,47.60546,-122.33279,1930,1.0,6,103911,0.0,0.447337,0.091417,0.461246,9956396.0,76.59999847,433.86,4.18
NonResidential,Hotel,47.60681,-122.33078,1983,1.0,28,416281,0.204189,0.632519,0.367481,0.0,33556756.0,96.30000305,802.89,1.93
NonResidential,Mixed Use Property,47.60515,-122.33159,1907,1.0,5,57452,0.0,0.494971,0.271505,0.233524,7606084.5,132.3999939,273.02,4.75
NonResidential,Hotel,47.60376,-122.33194,1916,1.0,10,104352,0.0,0.581841,0.080296,0.337863,10154608.0,97.30000305,349.32,3.35
NonResidential,Other,47.60265,-122.33051,1916,1.0,10,540360,0.0,0.541472,0.458528,0.0,44984468.0,83.69999695,1265.29,2.34
NonResidential,Other,47.60378,-122.32842,1985,1.0,19,385274,0.0,0.381482,0.618518,0.0,47859812.0,124.1999969,1699.45,4.41
NonResidential,Hotel,47.65959,-122.31755,2001,1.0,6,88592,0.345246,0.618591,0.381408,0.0,3663534.5,63.20000076,90.01,1.02
NonResidential,University,47.61816,-122.33629,1928,1.0,7,126593,0.0,0.409697,0.590303,0.0,11343686.0,90.69999695,388.04,3.07
NonResidential,Other,47.615,-122.33081,1930,1.0,2,67224,0.0,1.0,0.0,0.0,1310236.625,19.5,9.13,0.14
NonResidential,Hotel,47.61301,-122.32929,1991,1.0,8,158676,0.190961,0.107414,0.892586,0.0,5328051.5,45.5,256.57,1.62
NonResidential,Hotel,47.61784,-122.32966,2001,1.0,10,171866,0.222737,0.507209,0.492791,0.0,11061916.0,85.80000305,328.63,1.91
NonResidential,Hotel,47.61558,-122.34186,1978,1.0,5,68410,0.236807,0.526475,0.473525,0.0,4456714.5,92.90000153,128.44,1.88
NonResidential,Small- and Mid-Sized Office,47.6641,-122.33118,1906,1.0,3,87262,0.0,0.326307,0.673693,0.0,4145920.5,61.5,157.77,1.81
NonResidential,Hotel,47.66583,-122.29965,1994,1.0,4,81871,0.0,0.452331,0.547669,0.0,6668568.5,81.5,215.0,2.63
NonResidential,Self-Storage Facility,47.66172,-122.29598,1955,1.0,2,110356,0.0,0.883468,0.116533,0.0,318364.8125,12.10000038,3.93,0.04
Campus,Mixed Use Property,47.53493,-122.31788,1992,1.0,3,494835,0.0,0.335596,0.664404,0.0,448385312.0,221.6999969,16870.98,34.09
NonResidential,Warehouse,47.51138,-122.28875,1961,3.0,2,714095,0.0,1.0,0.0,0.0,44731160.0,46.40000153,311.84,0.44
SPS-District K-12,K-12 School,47.65671,-122.39047,1990,1.0,2,54986,0.0,0.737808,0.262192,0.0,1650279.25,30.0,31.47,0.57
NonResidential,Small- and Mid-Sized Office,47.66587,-122.38476,1961,1.0,2,94900,0.0,0.693706,0.306294,0.0,6186461.5,65.19999695,130.56,1.38
NonResidential,Small- and Mid-Sized Office,47.58034,-122.31132,1900,1.0,2,52554,0.0,0.535267,0.464733,0.0,2951331.25,50.09999847,83.86,1.6
NonResidential,K-12 School,47.68891,-122.33553,1954,1.0,3,175015,0.0,0.383108,0.616892,0.0,6994740.5,40.0,247.85,1.42
NonResidential,Self-Storage Facility,47.61351,-122.35129,1911,1.0,3,70586,0.0,0.694992,0.305008,0.0,2158629.0,30.60000038,45.43,0.64
NonResidential,Hotel,47.60946,-122.33337,1969,1.0,24,332210,0.619999,0.755074,0.244926,0.0,16163194.0,46.40000153,295.33,0.89
NonResidential,Large Office,47.6113,-122.33659,1973,1.0,5,168115,0.0,1.0,0.0,0.0,9536161.0,56.29999924,66.48,0.4
NonResidential,Other,47.61076,-122.33765,1920,1.0,2,57428,0.0,0.573161,0.426839,0.0,1247362.0,21.70000076,33.26,0.58
NonResidential,Small- and Mid-Sized Office,47.61048,-122.33794,1910,1.0,8,59400,0.0,1.0,0.0,0.0,5071974.0,85.40000153,35.36,0.6
NonResidential,Mixed Use Property,47.60886,-122.33744,1926,1.0,2,52549,0.0,0.308292,0.691708,0.0,15026196.0,286.3999939,584.31,11.12
NonResidential,Hotel,47.61233,-122.33432,1930,1.0,20,98634,0.101821,0.886129,0.113871,0.0,4841347.5,54.59999847,59.19,0.6
NonResidential,Hotel,47.61087,-122.33339,1982,1.0,34,994212,0.147548,0.565999,0.289862,0.144138,80469216.0,80.90000153,2451.58,2.47
NonResidential,Hotel,47.60997,-122.34138,1985,1.0,7,71150,0.0,0.606528,0.393472,0.0,5348309.0,93.09999847,134.38,1.89
NonResidential,Hotel,47.61155,-122.34114,1908,1.0,7,122810,0.0,0.239492,0.760508,0.0,5401277.5,44.0,227.18,1.85
NonResidential,Hotel,47.61986,-122.34413,1959,1.0,5,113173,0.375938,0.557246,0.442754,0.0,5284343.5,74.80000305,144.79,1.28
NonResidential,Hotel,47.62001,-122.34274,2000,1.0,7,150453,0.230869,0.505736,0.494264,0.0,6715187.0,60.70000076,199.95,1.33
NonResidential,Hotel,47.62025,-122.34314,1997,1.0,6,116300,0.242476,0.547131,0.452869,0.0,5827595.5,65.90000153,162.39,1.4
NonResidential,Hotel,47.62023,-122.35951,1998,1.0,6,155602,0.236141,0.666813,0.333186,0.0,6836900.0,43.90000153,152.76,0.98
NonResidential,K-12 School,47.63442,-122.30793,1911,1.0,3,56072,0.0,0.170604,0.829396,0.0,3234787.75,57.70000076,146.34,2.61
NonResidential,Hotel,47.62519,-122.34456,1999,1.0,4,122942,0.36514,0.454109,0.545891,0.0,5337334.0,68.40000153,171.64,1.4
NonResidential,Small- and Mid-Sized Office,47.60823,-122.30956,1962,1.0,2,54984,0.0,0.586106,0.413894,0.0,3375211.0,61.40000153,87.98,1.6
NonResidential,Senior Care Community,47.55837,-122.37751,1922,1.0,5,217603,0.0,0.276331,0.723669,0.0,42792072.0,144.3999939,1727.11,7.94
NonResidential,Senior Care Community,47.72426,-122.35599,1970,1.0,2,93397,0.0,0.346257,0.653743,0.0,16402563.0,175.6000061,609.1,6.52
NonResidential,Hotel,47.61988,-122.33211,2008,1.0,6,84103,0.246507,0.758935,0.241065,0.0,3706100.25,58.5,67.06,0.8
NonResidential,Medical Office,47.61244,-122.3214,1965,0.0,3,179014,0.0,0.591968,0.408032,0.0,16701055.0,93.30000305,430.84,2.41
NonResidential,Hotel,47.60898,-122.32693,1908,1.0,7,76631,0.0,0.366556,0.633444,0.0,7258758.5,94.69999695,262.75,3.43
NonResidential,Mixed Use Property,47.60845,-122.32637,1983,1.0,6,99780,0.093616,0.655674,0.0,0.344326,15473117.0,204.5,481.97,4.83
NonResidential,Retail Store,47.62237,-122.33805,1929,1.0,2,58320,0.0,0.344657,0.655343,0.0,1049748.625,14.60000038,39.06,0.67
NonResidential,Large Office,47.62424,-122.33646,2010,1.0,5,316306,0.0,0.932961,0.067039,0.0,13795954.0,48.0,138.85,0.44
NonResidential,Hotel,47.62642,-122.33325,1990,1.0,7,282863,0.15826,0.564288,0.435712,0.0,19459304.0,82.5,526.85,1.86
Nonresidential COS,Other,47.62208,-122.35398,1962,1.0,1,389000,0.0,0.609458,0.029109,0.257541,23658978.0,64.30000305,607.41,1.56
Nonresidential COS,Other,47.62208,-122.35398,1962,1.0,1,91213,0.0,0.461128,0.0,0.506087,8141155.5,125.1999969,344.2,3.77
Nonresidential COS,Other,47.62208,-122.35398,1938,1.0,5,396085,0.0,0.34609,0.0,0.465935,20955026.0,75.19999695,804.2,2.03
NonResidential,Large Office,47.62112,-122.33629,2010,1.0,12,571329,0.0,0.813167,0.186833,0.0,39605888.0,63.40000153,617.52,1.08
Nonresidential COS,Other,47.62395,-122.35077,1962,1.0,2,52000,0.0,0.474385,0.0,0.441019,2726369.0,52.40000153,101.83,1.96
