BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Large Office,47.63,-122.3396,1971,1.0,11,124721,0.0,0.58065,0.41935,0.0,13898181.0,111.4000015,365.79,2.93
NonResidential,Small- and Mid-Sized Office,47.63376,-122.33968,1970,1.0,7,94002,0.0,1.0,0.0,0.0,5662234.0,60.29999924,39.47,0.42
NonResidential,Warehouse,47.55515,-122.3275,1974,1.0,1,93020,0.0,1.0,0.0,0.0,1252323.875,13.5,8.73,0.09
NonResidential,Other,47.6153,-122.35014,1946,1.0,1,23000,0.0,0.36652,0.633481,0.0,711118.375,30.89999962,25.74,1.12
NonResidential,Supermarket / Grocery Store,47.52095,-122.26825,2002,1.0,1,61053,0.0,0.645283,0.354717,0.0,13133225.0,241.3000031,306.5,5.02
NonResidential,Small- and Mid-Sized Office,47.59895,-122.33379,1904,1.0,5,78920,0.0,1.0,0.0,0.0,2830674.75,36.0,19.73,0.25
NonResidential,Small- and Mid-Sized Office,47.59855,-122.33327,1906,1.0,7,99440,0.0,0.709243,0.290757,0.0,6606832.5,74.30000305,134.69,1.35
NonResidential,Small- and Mid-Sized Office,47.59856,-122.33379,1907,1.0,6,73260,0.0,1.0,0.0,0.0,2853189.5,44.70000076,19.89,0.27
NonResidential,Small- and Mid-Sized Office,47.59979,-122.3338,1900,1.0,4,69817,0.0,0.571662,0.074316,0.354021,2178074.5,35.90000153,76.8,1.1
NonResidential,Small- and Mid-Sized Office,47.60035,-122.33379,1900,1.0,4,84750,0.0,0.881663,0.118337,0.0,2094724.625,29.79999924,26.04,0.31
NonResidential,Small- and Mid-Sized Office,47.60146,-122.33248,1900,1.0,6,75496,0.176433,1.0,0.0,0.0,3570161.75,59.29999924,24.89,0.33
NonResidential,Large Office,47.59962,-122.33247,1900,1.0,4,164380,0.0,0.809419,0.138392,0.052188,7655751.0,53.0,130.31,0.79
NonResidential,Large Office,47.59858,-122.33198,1907,1.0,7,160580,0.0,0.695099,0.224828,0.080072,4336187.5,27.0,99.59,0.62
Nonresidential COS,Other,47.59871,-122.3299,1906,1.0,3,67755,0.0,1.0,0.0,0.0,1904480.0,29.10000038,13.28,0.2
NonResidential,Mixed Use Property,47.59334,-122.32905,1910,1.0,3,56700,0.0,0.862472,0.137528,0.0,2371575.0,41.79999924,31.58,0.56
NonResidential,Warehouse,47.59366,-122.32666,1922,1.0,1,82852,0.0,0.4913,0.5087,0.0,2153603.5,26.29999924,65.56,0.79
NonResidential,Other,47.57941,-122.33131,1953,1.0,2,76442,0.0,0.428679,0.571321,0.0,3978277.0,52.29999924,132.6,1.73
NonResidential,Distribution Center,47.57658,-122.33054,1962,1.0,2,92792,0.0,0.641602,0.358398,0.0,3155496.0,31.89999962,74.18,0.8
NonResidential,Other,47.58444,-122.33282,1941,2.0,2,125519,0.0,1.0,0.0,0.0,2244317.0,15.69999981,15.65,0.12
NonResidential,Large Office,47.58361,-122.33369,1900,1.0,4,129000,0.2,1.0,0.0,0.0,4374646.0,41.70000076,30.5,0.24
NonResidential,Warehouse,47.58781,-122.33264,1954,1.0,1,78814,0.0,0.736829,0.263171,0.0,861972.875,10.89999962,16.48,0.21
NonResidential,Small- and Mid-Sized Office,47.59486,-122.33368,1904,1.0,4,58970,0.0,0.648709,0.351291,0.0,1776411.75,30.39999962,41.18,0.7
NonResidential,Distribution Center,47.59403,-122.33367,1910,1.0,6,75600,0.142857,1.0,0.0,0.0,2688675.75,43.70000076,18.74,0.25
NonResidential,Distribution Center,47.59363,-122.33371,1907,1.0,4,56270,0.0,1.0,0.0,0.0,1056782.125,18.79999924,7.37,0.13
NonResidential,Small- and Mid-Sized Office,47.59701,-122.33378,1904,1.0,4,66842,0.0,0.616471,0.383529,0.0,5608600.5,104.5999985,138.35,2.07
NonResidential,Small- and Mid-Sized Office,47.59639,-122.33368,1909,1.0,6,75288,0.143449,0.99987,0.00013,0.0,2891605.0,44.09999847,20.18,0.27
NonResidential,Large Office,47.59806,-122.33475,1904,1.0,7,184322,0.0,1.0,0.0,0.0,9722890.0,52.70000076,67.78,0.37
NonResidential,Large Office,47.59767,-122.33467,2009,1.0,7,287853,0.0,0.996694,0.003306,0.0,25567108.0,89.40000153,182.14,0.63
NonResidential,Small- and Mid-Sized Office,47.59202,-122.33486,1914,1.0,2,64512,0.0,0.494649,0.505351,0.0,5968153.5,94.69999695,180.76,2.8
NonResidential,Mixed Use Property,47.58924,-122.33566,2009,1.0,6,286000,0.390818,0.999795,0.000204,0.0,63835192.0,366.3999939,445.62,1.56
NonResidential,Warehouse,47.58365,-122.33467,1926,1.0,7,144050,0.0,0.608195,0.391805,0.0,3929371.0,27.29999924,98.43,0.68
NonResidential,Small- and Mid-Sized Office,47.58252,-122.33465,1930,1.0,3,60592,0.0,0.948305,0.051695,0.0,5049446.5,83.59999847,47.25,0.78
NonResidential,Large Office,47.58181,-122.33534,1912,0.0,6,1380959,0.0,0.91407,0.08593,0.0,74130576.0,49.29999924,810.7,0.59
NonResidential,Retail Store,47.57842,-122.33558,1993,1.0,1,107930,0.0,0.8497,0.1503,0.0,7221482.5,67.0,100.42,0.93
NonResidential,Warehouse,47.57096,-122.3355,1926,1.0,1,99084,0.0,0.491368,0.508632,0.0,1618110.375,16.29999924,49.25,0.5
NonResidential,Distribution Center,47.56676,-122.35247,1953,1.0,1,72719,0.0,0.792269,0.207731,0.0,2581741.75,35.5,42.74,0.59
NonResidential,Small- and Mid-Sized Office,47.59534849,-122.327269,1930,0.0,4,76624,0.0,0.89,0.11,0.0,2773647.5,36.20000076,33.41,0.44
NonResidential,Small- and Mid-Sized Office,47.66158,-122.31625,2001,1.0,6,91706,0.398916,1.0,0.0,0.0,8570571.0,150.3000031,59.75,0.65
NonResidential,Medical Office,47.62395,-122.33392,2008,1.0,5,129093,0.309095,0.613044,0.386956,0.0,19248732.0,203.1999969,477.85,3.7
NonResidential,Large Office,47.56787,-122.36419,1991,1.0,5,138106,0.117453,1.0,0.0,0.0,8381834.5,70.40000153,58.43,0.42
NonResidential,Retail Store,47.56664,-122.32346,1973,1.0,1,56572,0.0,0.545808,0.454192,0.0,2409429.0,42.59999847,67.29,1.19
NonResidential,Medical Office,47.60979,-122.32298,2004,1.0,0,225982,0.0,0.619872,0.0,0.380128,20560622.0,102.6999969,692.12,3.06
NonResidential,Mixed Use Property,47.61783,-122.33729,2006,0.0,0,516407,0.0,0.746963,0.253037,0.0,39403320.0,76.30000305,734.72,1.42
NonResidential,Large Office,47.59794,-122.32767,2000,1.0,11,312512,0.0,0.995034,0.004966,0.0,25747022.0,82.40000153,185.39,0.59
NonResidential,Large Office,47.6074,-122.33777,2005,1.0,42,1592914,0.0,0.975664,0.006877,0.017459,56498868.0,45.29999924,481.06,0.3
NonResidential,Small- and Mid-Sized Office,47.61077,-122.3361,1926,1.0,6,97720,0.0,1.0,0.0,0.0,2478025.25,33.70000076,17.28,0.18
NonResidential,Medical Office,47.61002,-122.32222,1985,1.0,10,422503,0.488943,0.942384,0.0,0.057616,17254810.0,87.40000153,190.1,0.45
NonResidential,Medical Office,47.60649,-122.31121,1987,1.0,7,94500,0.0,1.0,0.0,0.0,5792926.0,50.90000153,40.38,0.43
NonResidential,Retail Store,47.53655,-122.36377,2005,0.0,1,94713,0.0,0.772095,0.227905,0.0,5417598.0,49.40000153,94.74,1.0
NonResidential,Medical Office,47.60707,-122.3288,2008,1.0,9,302902,0.33457,0.95962,0.04038,0.0,14751117.0,73.30000305,130.32,0.43
NonResidential,Medical Office,47.60883,-122.32494,1973,1.0,19,319911,0.488908,0.761475,0.0,0.238525,15067340.0,88.30000305,357.39,1.12
NonResidential,Large Office,47.60353,-122.33558,1900,1.0,6,205521,0.0,0.53154,0.214281,0.254179,8138616.5,56.70000076,282.46,1.37
NonResidential,Small- and Mid-Sized Office,47.60197,-122.33437,1900,1.0,6,56700,0.0,1.0,0.0,0.0,3065954.5,54.29999924,21.37,0.38
NonResidential,Small- and Mid-Sized Office,47.59554,-122.32471,1925,1.0,4,72000,0.0,0.964613,0.035387,0.0,2729167.75,37.90000153,23.48,0.33
NonResidential,Large Office,47.63347,-122.34078,2000,1.0,4,191146,0.496437,1.0,0.0,0.0,5101504.5,49.5,35.56,0.19
NonResidential,Other,47.56797,-122.36711,2001,1.0,3,68763,0.167634,0.40653,0.593469,0.0,9029489.0,180.6000061,310.19,4.51
NonResidential,Other,47.56961,-122.28881,1994,3.0,1,102133,0.0,0.596206,0.403794,0.0,20725996.0,192.8999939,530.62,5.2
NonResidential,Large Office,47.61567,-122.33503,2008,1.0,14,362046,0.0,0.989913,0.010087,0.0,15725581.0,66.59999847,116.95,0.32
NonResidential,Other,47.62476,-122.35521,1994,3.0,2,81336,0.0,0.703597,0.296403,0.0,13085297.0,160.8000031,270.17,3.32
NonResidential,Large Office,47.6115,-122.33278,2001,1.0,23,538933,0.0,1.0,0.0,0.0,16020642.0,43.70000076,111.69,0.21
NonResidential,Other,47.61234,-122.34897,1983,1.0,6,275982,0.714286,1.0,0.0,0.0,5233553.5,66.40000153,36.49,0.13
NonResidential,Small- and Mid-Sized Office,47.62497,-122.35965,1982,1.0,5,98668,0.0,1.0,0.0,0.0,4391348.0,44.5,30.61,0.31
NonResidential,Large Office,47.57639,-122.32072,2007,1.0,1,158931,0.178574,0.907052,0.092948,0.0,8751704.0,67.69999695,98.54,0.62
NonResidential,Large Office,47.65692,-122.37059,1978,1.0,1,105100,0.0,0.799785,0.200215,0.0,22078064.0,210.1000061,357.86,3.4
NonResidential,Supermarket / Grocery Store,47.63718,-122.37734,2008,1.0,1,57176,0.0,0.0,0.0,0.0,12525174.0,208.8000031,0.0,0.0
NonResidential,Retail Store,47.63284,-122.37712,1978,1.0,1,50660,0.0,0.656766,0.343234,0.0,2661488.0,52.5,60.7,1.2
NonResidential,Small- and Mid-Sized Office,47.63156,-122.37551,1937,1.0,2,61929,0.0,0.602832,0.397168,0.0,2203026.5,55.20000076,55.73,0.9
NonResidential,Large Office,47.62302,-122.36476,2000,1.0,4,165111,0.333109,1.0,0.0,0.0,25478086.0,231.3999939,177.62,1.08
NonResidential,Small- and Mid-Sized Office,47.61588,-122.34965,1925,1.0,3,20565,0.0,0.999999,0.0,0.0,802312.5,39.0,5.59,0.27
NonResidential,Large Office,47.62175,-122.36313,2000,1.0,5,159937,0.349957,1.0,0.0,0.0,7857972.5,73.80000305,54.78,0.34
NonResidential,Large Office,47.62101,-122.36188,2008,1.0,5,183964,0.254196,1.0,0.0,0.0,14856199.0,108.3000031,103.57,0.56
NonResidential,Large Office,47.61891,-122.35958,1986,1.0,5,208210,0.378695,0.69225,0.30775,0.0,5514308.5,50.09999847,116.74,0.56
NonResidential,Large Office,47.61813,-122.35833,1986,1.0,7,277486,0.289323,1.0,0.0,0.0,12729858.0,65.90000153,88.74,0.32
NonResidential,Large Office,47.614,-122.35375,1993,1.0,3,187130,0.0,1.0,0.0,0.0,10053489.0,52.59999847,70.09,0.37
NonResidential,Large Office,47.61287,-122.35022,2000,1.0,5,251044,0.469507,1.0,0.0,0.0,17186624.0,123.6999969,119.81,0.48
NonResidential,Warehouse,47.60703,-122.34038,1912,1.0,5,154330,0.0,1.0,0.0,0.0,1262235.25,13.19999981,8.8,0.06
NonResidential,Large Office,47.60604,-122.33948,1918,1.0,6,108245,0.135711,0.941029,0.0,0.05897,4515180.5,45.79999924,50.17,0.46
NonResidential,Large Office,47.6047,-122.33739,1905,1.0,6,167860,0.0,1.0,0.0,0.0,6797647.0,52.0,47.39,0.28
NonResidential,Large Office,47.60247,-122.33621,1910,1.0,6,112560,0.0,0.722492,0.277508,0.0,4946798.5,51.29999924,97.82,0.87
NonResidential,Retail Store,47.60223,-122.33602,1910,1.0,6,86204,0.0,0.689684,0.310316,0.0,3241917.0,43.5,69.02,0.8
Nonresidential COS,Warehouse,47.5829,-122.32417,1985,1.0,2,145158,0.0,0.842283,0.157717,0.0,8384523.0,52.29999924,119.46,0.82
NonResidential,Large Office,47.58716,-122.32214,1951,1.0,2,112896,0.0,0.819324,0.180676,0.0,10287986.0,92.90000153,157.48,1.39
NonResidential,Distribution Center,47.58685,-122.32501,1960,1.0,1,110613,0.0,1.0,0.0,0.0,1015060.188,9.199999809,7.08,0.06
NonResidential,Warehouse,47.58553,-122.32511,1951,1.0,4,149881,0.0,0.29166,0.70834,0.0,2417401.25,16.10000038,95.86,0.64
NonResidential,Warehouse,47.58042,-122.32552,1951,1.0,3,98220,0.0,0.898811,0.101189,0.0,6468090.0,50.0,75.29,0.77
NonResidential,Distribution Center,47.58096,-122.32313,1970,1.0,1,84420,0.0,1.0,0.0,0.0,2848317.25,35.0,19.86,0.24
NonResidential,Distribution Center,47.57055,-122.3267,1961,1.0,1,73335,0.0,0.501593,0.498407,0.0,5197118.0,70.90000153,155.74,2.12
NonResidential,Distribution Center,47.5794,-122.32848,1928,1.0,2,56876,0.0,0.564422,0.435578,0.0,1791715.625,31.5,48.5,0.85
NonResidential,Warehouse,47.58241,-122.32866,1931,1.0,2,61200,0.0,0.362958,0.637042,0.0,4912143.0,80.30000305,178.62,2.92
NonResidential,Distribution Center,47.58772,-122.32686,1987,1.0,1,111908,0.0,0.675385,0.324615,0.0,1555420.25,14.30000019,34.14,0.31
NonResidential,Other,47.5908,-122.32828,1986,3.0,2,63644,0.0,0.618603,0.381397,0.0,6858533.5,104.4000015,168.5,2.65
NonResidential,Mixed Use Property,47.59439,-122.32839,1930,3.0,2,108753,0.173421,1.0,0.0,0.0,3639670.25,33.5,25.37,0.23
NonResidential,Supermarket / Grocery Store,47.69197,-122.35877,1970,1.0,1,141890,0.250511,0.773855,0.226145,0.0,16865978.0,100.0,293.56,2.07
NonResidential,Small- and Mid-Sized Office,47.6633,-122.37549,2001,1.0,4,92092,0.22863,1.0,0.0,0.0,4817062.0,68.69999695,33.58,0.36
NonResidential,Warehouse,47.6592,-122.38437,1974,0.0,3,56259,0.0,0.348465,0.651535,0.0,2346571.5,41.70000076,86.9,1.54
NonResidential,Other,47.65529,-122.32133,2006,1.0,6,143439,0.0,0.550134,0.449866,0.0,25631512.0,214.3999939,710.7,4.95
NonResidential,Large Office,47.64912,-122.34823,2008,1.0,4,202623,0.438524,1.0,0.0,0.0,8873485.0,79.5,61.86,0.31
NonResidential,Small- and Mid-Sized Office,47.64932,-122.35187,2000,1.0,2,77174,0.334309,1.0,0.0,0.0,5481549.0,71.0,38.21,0.5
NonResidential,Large Office,47.62817,-122.34212,1998,1.0,5,110524,0.0,1.0,0.0,0.0,6859198.0,63.90000153,47.82,0.43
NonResidential,Mixed Use Property,47.6289,-122.32877,2008,1.0,5,287224,0.360868,0.827238,0.172762,0.0,21042926.0,139.8999939,314.43,1.09
NonResidential,Laboratory,47.63079,-122.32693,1999,1.0,4,115748,0.158811,0.464184,0.535816,0.0,36436388.0,374.2000122,1154.79,9.98
NonResidential,Large Office,47.62225,-122.35915,2000,1.0,7,241875,0.350135,0.980682,0.019318,0.0,8655604.0,53.09999847,68.06,0.28
NonResidential,Large Office,47.61949,-122.35639,1974,1.0,5,102930,0.181871,0.85444,0.145559,0.0,4750799.0,53.29999924,65.03,0.63
NonResidential,Small- and Mid-Sized Office,47.61472,-122.35566,1902,1.0,3,76893,0.0,0.682422,0.317578,0.0,12029600.0,113.3000031,260.13,3.38
NonResidential,Large Office,47.61732,-122.34791,1975,1.0,8,150000,0.157533,0.872886,0.127114,0.0,9343428.0,73.80000305,119.93,0.8
NonResidential,Large Office,47.61628,-122.33391,1953,1.0,7,274362,0.0,0.957408,0.042592,0.0,16540550.0,60.29999924,147.82,0.54
NonResidential,Large Office,47.61599,-122.34165,1983,1.0,15,378002,0.307617,0.849716,0.150283,0.0,17750994.0,65.69999695,246.83,0.65
NonResidential,Large Office,47.61481,-122.33969,1963,1.0,11,169020,0.0,0.627978,0.120503,0.251519,11480494.0,65.59999847,346.62,2.05
NonResidential,Other,47.61438,-122.33871,1981,1.0,33,429405,0.0,0.999455,0.000545,0.0,274682208.0,639.7000122,1921.82,4.48
NonResidential,Large Office,47.60454,-122.33072,1985,1.0,76,1952220,0.163609,0.945278,0.054722,0.0,92937640.0,55.29999924,882.56,0.45
NonResidential,Large Office,47.61418,-122.33485,1981,1.0,19,383515,0.234093,1.0,0.0,0.0,15878689.0,47.90000153,110.7,0.29
NonResidential,Medical Office,47.6129,-122.33684,1925,1.0,18,363934,0.079328,0.72394,0.000542,0.275518,22104512.0,72.90000153,582.28,1.6
NonResidential,Retail Store,47.61203,-122.33486,1929,1.0,4,78920,0.0,0.864359,0.135641,0.0,8303666.5,105.1999969,109.85,1.39
NonResidential,Large Office,47.61051,-122.34439,1979,1.0,7,131143,0.664618,0.940868,0.273511,0.0,5177270.5,39.5,109.16,0.83
NonResidential,Other,47.61289,-122.33531,1999,1.0,0,947987,0.0,1.0,0.0,0.0,46510960.0,62.29999924,324.25,0.34
NonResidential,Mixed Use Property,47.61505,-122.32,1908,1.0,4,55520,0.0,0.264149,0.735851,0.0,3686962.25,66.40000153,150.88,2.72
NonResidential,Large Office,47.61036,-122.34037,1908,1.0,10,132998,0.0,0.594542,0.0,0.405458,3775187.5,27.29999924,133.8,1.01
NonResidential,Retail Store,47.60956,-122.33715,1940,1.0,3,83118,0.0,0.904335,0.095665,0.0,2443141.5,54.29999924,27.82,0.33
NonResidential,Retail Store,47.60925,-122.33734,1924,1.0,3,77555,0.0,0.99998,2e-05,0.0,7802205.5,106.0999985,54.4,0.7
NonResidential,Small- and Mid-Sized Office,47.60765,-122.34097,1909,1.0,6,51218,0.0,1.0,0.0,0.0,2886141.5,55.5,20.12,0.39
NonResidential,Large Office,47.60765,-122.3348,1970,1.0,29,489182,0.0,0.897062,0.102938,0.0,36378588.0,93.80000305,426.39,0.87
NonResidential,Large Office,47.60769,-122.33544,1929,1.0,27,216571,0.061504,0.535807,0.007845,0.456348,16246106.0,86.0,639.72,2.95
NonResidential,Large Office,47.60741,-122.33565,1921,1.0,13,189175,0.0,1.0,0.0,0.0,19036416.0,115.8000031,132.71,0.7
NonResidential,Large Office,47.60582,-122.33464,1998,1.0,13,293803,0.253507,1.0,0.0,0.0,17074142.0,117.4000015,119.03,0.41
NonResidential,Large Office,47.60576,-122.33922,1910,1.0,7,122356,0.0,0.953489,0.046511,0.0,4585070.5,41.09999847,41.8,0.34
NonResidential,Small- and Mid-Sized Office,47.60366,-122.33328,1921,1.0,3,52298,0.0,1.0,0.0,0.0,1968655.125,39.20000076,13.72,0.26
NonResidential,Large Office,47.60304,-122.33362,1911,1.0,17,116640,0.0,0.743044,0.0,0.256956,6758565.5,70.30000305,169.06,1.45
NonResidential,Large Office,47.60573,-122.33028,1981,1.0,42,1249055,0.161019,1.0,0.0,0.0,37980712.0,38.0,264.78,0.21
NonResidential,Medical Office,47.60663,-122.32157,1988,1.0,5,188339,0.527315,0.923742,0.076258,0.0,8523594.0,104.0999985,89.41,0.47
NonResidential,University,47.6094,-122.31506,1916,1.0,2,60122,0.0,0.858803,0.141196,0.0,690529.5,11.5,9.31,0.15
NonResidential,Small- and Mid-Sized Office,47.5981,-122.33369,1910,1.0,6,95000,0.144211,0.983002,0.016998,0.0,4052720.0,48.0,31.43,0.33
NonResidential,Large Office,47.6029,-122.32927,1971,1.0,9,224857,0.0,0.734982,0.0,0.265018,15272491.0,74.5,390.67,1.74
NonResidential,Large Office,47.59878,-122.33088,1998,1.0,8,446261,0.27963,1.0,0.0,0.0,13568148.0,39.5,94.59,0.21
NonResidential,Other,47.59273,-122.33455,1939,1.0,2,58492,0.0,0.450198,0.549802,0.0,1594422.5,27.29999924,51.56,0.88
NonResidential,Small- and Mid-Sized Office,47.58958,-122.33369,1907,1.0,6,62370,0.0,1.0,0.0,0.0,4353025.0,72.69999695,30.35,0.49
NonResidential,Warehouse,47.58454,-122.3269,1960,1.0,1,73296,0.0,0.474278,0.525722,0.0,2356376.75,30.29999924,73.58,1.0
Nonresidential COS,Other,47.5829,-122.32417,1944,1.0,4,99122,0.0,0.882295,0.117705,0.0,14469228.0,146.0,179.45,1.81
NonResidential,Other,47.58251,-122.32528,1985,1.0,1,66133,0.0,0.843879,0.156121,0.0,6345009.5,82.40000153,89.94,1.36
NonResidential,Warehouse,47.57613,-122.33864,1952,1.0,2,115668,0.0,0.469047,0.530953,0.0,3534690.75,30.79999924,111.23,0.96
NonResidential,Other,47.56301,-122.32564,1970,1.0,1,141686,0.0,1.0,0.0,0.0,6673138.0,43.79999924,46.52,0.33
NonResidential,Small- and Mid-Sized Office,47.55695,-122.33176,1950,1.0,1,93610,0.0,0.621839,0.378161,0.0,6235947.0,61.29999924,152.28,1.63
NonResidential,Large Office,47.55238,-122.32762,1973,1.0,2,156188,0.0,0.958156,0.041844,0.0,6843855.0,48.20000076,60.92,0.39
NonResidential,Warehouse,47.54923,-122.32446,1966,1.0,1,115620,0.0,1.0,0.0,0.0,1951856.25,34.29999924,13.61,0.12
NonResidential,Large Office,47.54699,-122.32882,1975,1.0,5,238148,0.0,1.0,0.0,0.0,10775646.0,43.90000153,75.12,0.32
NonResidential,Distribution Center,47.54326,-122.33134,1969,1.0,1,71718,0.0,0.999998,0.0,0.0,151754.2969,2.099999905,1.06,0.01
NonResidential,Warehouse,47.53628,-122.3329,1969,1.0,1,55450,0.0,0.494557,0.505443,0.0,4345698.0,78.40000153,131.64,2.37
NonResidential,Distribution Center,47.52549,-122.33064,1979,1.0,1,54880,0.0,0.448976,0.551024,0.0,2763597.0,50.20000076,89.53,1.63
NonResidential,Retail Store,47.52222,-122.36892,1992,1.0,1,102500,0.0,0.680705,0.319295,0.0,7305474.0,73.40000153,158.55,1.55
NonResidential,Other,47.66478,-122.29804,2002,1.0,6,361398,0.755123,0.859578,0.140422,0.0,8915523.0,108.5,119.92,0.33
NonResidential,Supermarket / Grocery Store,47.57903,-122.29982,1963,1.0,1,50785,0.0,0.581707,0.418293,0.0,7439009.0,271.7000122,195.43,3.85
NonResidential,Small- and Mid-Sized Office,47.54103,-122.33766,1929,1.0,3,85126,0.0,0.490361,0.018053,0.0,37951708.0,465.5,166.13,1.95
NonResidential,Other,47.70911,-122.32529,2000,1.0,5,303255,0.065358,0.95712,0.04288,0.0,11077140.0,36.5,99.14,0.33
NonResidential,Distribution Center,47.56613,-122.33838,1986,1.0,1,411584,0.0,0.497091,0.502909,0.0,15091579.0,37.0,455.39,1.11
NonResidential,Mixed Use Property,47.59937,-122.33116,1902,1.0,4,73320,0.0,0.597343,0.402657,0.0,1141189.75,20.0,29.16,0.4
NonResidential,Large Office,47.6252,-122.36737,2008,1.0,4,242686,0.41278,1.0,0.0,0.0,9683979.0,65.0,67.51,0.28
NonResidential,Small- and Mid-Sized Office,47.5992,-122.33223,1900,1.0,6,95760,0.165414,0.851879,0.148121,0.0,5392617.5,56.29999924,74.45,0.78
NonResidential,Warehouse,47.56733,-122.3352,1946,1.0,1,179413,0.0,1.0,0.0,0.0,3459543.0,19.39999962,24.12,0.13
NonResidential,Warehouse,47.57513,-122.33739,1917,0.0,1,65288,0.0,1.0,0.0,0.0,605971.1875,8.600000381,4.22,0.06
NonResidential,Warehouse,47.5725,-122.3571,1966,1.0,1,170632,0.0,1.0,0.0,0.0,602245.0,3.5,4.2,0.02
NonResidential,Large Office,47.63264,-122.34171,1994,1.0,10,381511,0.0,0.949517,0.050483,0.0,11410228.0,51.90000153,106.12,0.28
NonResidential,Large Office,47.60214,-122.32726,2009,1.0,17,413264,0.334164,1.0,0.0,0.0,13631141.0,46.09999847,95.03,0.23
NonResidential,Mixed Use Property,47.6586,-122.3124,2009,1.0,6,122400,0.443627,0.797462,0.202538,0.0,4865551.5,68.30000305,79.39,0.65
NonResidential,Retail Store,47.66246,-122.29898,1956,1.0,2,93803,0.0,0.712273,0.287727,0.0,5453438.5,58.79999924,110.41,1.18
NonResidential,Warehouse,47.51304,-122.28394,1966,1.0,2,123000,0.0,1.0,0.0,0.0,3004271.0,21.89999962,20.94,0.17
NonResidential,Medical Office,47.6056366,-122.3214798,2003,1.0,5,275130,0.410642,1.0,0.0,0.0,9941308.0,55.90000153,69.3,0.25
NonResidential,Warehouse,47.51168,-122.28285,1978,1.0,1,60448,0.0,0.590027,0.409973,0.0,1052244.75,17.39999962,27.24,0.45
NonResidential,Hospital,47.608951,-122.322402,1994,7.0,14,1765970,0.0,0.477874,0.05938,0.462746,291614432.0,177.8999939,12307.16,6.97
NonResidential,Other,47.61915,-122.35871,1928,3.0,4,62600,0.0,0.361622,0.638378,0.0,11147342.0,51.79999924,406.04,6.49
NonResidential,Mixed Use Property,47.60453796,-122.3203278,2004,1.0,4,77412,0.279182,0.980943,0.019057,0.0,2655387.5,58.20000076,20.85,0.27
NonResidential,Medical Office,47.60796711,-122.3195445,1990,1.0,5,289419,0.549919,0.923823,0.076177,0.0,12731388.0,87.09999847,133.5,0.46
NonResidential,Other,47.6993,-122.32378,1987,1.0,5,90266,0.0,1.0,0.0,0.0,7771933.5,88.80000305,54.18,0.6
NonResidential,Warehouse,47.6582,-122.36434,2004,1.0,4,87332,0.073948,0.881649,0.118351,0.0,1165598.875,13.30000019,14.49,0.17
NonResidential,Hotel,47.61210727,-122.3205972,2003,1.0,6,150545,0.33224,0.417709,0.582291,0.0,13410041.0,133.3999939,453.76,3.01
NonResidential,Other,47.62147,-122.34817,1999,1.0,5,141718,0.0,0.763585,0.236415,0.0,19085174.0,136.3000031,341.23,2.41
NonResidential,Hotel,47.62562,-122.35121,2008,1.0,5,111856,0.190182,0.510906,0.489094,0.0,9444484.0,98.40000153,278.97,2.49
NonResidential,Warehouse,47.61818,-122.31728,1988,1.0,4,132828,0.0,0.999999,0.0,0.0,1083729.625,8.199999809,7.56,0.06
NonResidential,Warehouse,47.53935,-122.34402,1970,1.0,1,70400,0.0,0.710246,0.289754,0.0,13962749.0,198.3000031,284.01,4.03
NonResidential,Retail Store,47.71417,-122.34256,1995,1.0,1,101830,0.0,0.554034,0.445966,0.0,10713006.0,81.90000153,295.12,2.9
NonResidential,University,47.5997,-122.30364,1974,2.0,4,114000,0.0,0.837194,0.162805,0.0,7575080.0,66.40000153,109.71,0.96
SPS-District K-12,Other,47.5805,-122.33032,2002,1.0,3,338063,0.0,0.879085,0.120915,0.0,20675922.0,61.20000076,259.49,0.77
NonResidential,Warehouse,47.57311,-122.3601,1965,1.0,1,152365,0.0,0.886382,0.113618,0.0,1069749.75,6.800000191,13.07,0.09
NonResidential,Medical Office,47.60705,-122.30966,1910,1.0,6,320946,0.0,0.989548,0.010452,0.0,25471308.0,78.90000153,189.85,0.59
NonResidential,Retail Store,47.54862,-122.32272,1958,1.0,1,74178,0.0,0.610184,0.389816,0.0,5402181.0,72.80000305,134.82,1.82
NonResidential,Warehouse,47.70799,-122.30185,1987,1.0,4,80360,0.0,0.637036,0.362964,0.0,686019.1875,8.5,16.27,0.2
NonResidential,Supermarket / Grocery Store,47.61318,-122.32122,1996,1.0,3,119190,0.0,0.576868,0.423132,0.0,10077532.0,217.8000031,267.0,2.24
NonResidential,Other,47.59394,-122.32452,2008,1.0,2,51856,0.0,1.0,0.0,0.0,1938613.125,37.40000153,13.51,0.26
NonResidential,Mixed Use Property,47.58718,-122.33467,1921,1.0,3,66138,0.190299,1.0,0.0,0.0,7070998.5,139.8000031,49.29,0.75
NonResidential,Large Office,47.66181,-122.31231,1960,1.0,3,113944,0.425735,0.995049,0.004951,0.0,17880184.0,273.2999878,128.73,1.13
