BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,surface_inverse
NonResidential,Self-Storage Facility,DOWNTOWN,1911,1.0,3,70586,0.0,0.694992,0.305008,0.0,2158629.0,30.60000038,45.43,0.64,1.4167115291984245e-05
NonResidential,Hotel,DOWNTOWN,1969,1.0,24,332210,0.619999,0.755074,0.244926,0.0,16163194.0,46.40000153,295.33,0.89,3.010144185906505e-06
NonResidential,Large Office,DOWNTOWN,1973,1.0,5,168115,0.0,1.0,0.0,0.0,9536161.0,56.29999924,66.48,0.4,5.9483091931118576e-06
NonResidential,Other,DOWNTOWN,1920,1.0,2,57428,0.0,0.573161,0.426839,0.0,1247362.0,21.70000076,33.26,0.58,1.7413108588145156e-05
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,8,59400,0.0,1.0,0.0,0.0,5071974.0,85.40000153,35.36,0.6,1.6835016835016834e-05
NonResidential,Mixed Use Property,DOWNTOWN,1926,1.0,2,52549,0.0,0.308292,0.691708,0.0,15026196.0,286.3999939,584.31,11.12,1.9029857846961882e-05
NonResidential,Hotel,DOWNTOWN,1930,1.0,20,98634,0.101821,0.886129,0.113871,0.0,4841347.5,54.59999847,59.19,0.6,1.0138491797960136e-05
NonResidential,Hotel,DOWNTOWN,1982,1.0,34,994212,0.147548,0.565999,0.289862,0.144138,80469216.0,80.90000153,2451.58,2.47,1.005821695976311e-06
NonResidential,Hotel,DOWNTOWN,1985,1.0,7,71150,0.0,0.606528,0.393472,0.0,5348309.0,93.09999847,134.38,1.89,1.4054813773717497e-05
NonResidential,Hotel,DOWNTOWN,1908,1.0,7,122810,0.0,0.239492,0.760508,0.0,5401277.5,44.0,227.18,1.85,8.14265939255761e-06
NonResidential,Hotel,LAKE UNION,1959,1.0,5,113173,0.375938,0.557246,0.442754,0.0,5284343.5,74.80000305,144.79,1.28,8.83602979509247e-06
NonResidential,Hotel,LAKE UNION,2000,1.0,7,150453,0.230869,0.505736,0.494264,0.0,6715187.0,60.70000076,199.95,1.33,6.646593952928822e-06
NonResidential,Hotel,LAKE UNION,1997,1.0,6,116300,0.242476,0.547131,0.452869,0.0,5827595.5,65.90000153,162.39,1.4,8.598452278589854e-06
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,0.236141,0.666813,0.333186,0.0,6836900.0,43.90000153,152.76,0.98,6.426652613719618e-06
NonResidential,K-12 School,EAST,1911,1.0,3,56072,0.0,0.170604,0.829396,0.0,3234787.75,57.70000076,146.34,2.61,1.7834213154515623e-05
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,0.36514,0.454109,0.545891,0.0,5337334.0,68.40000153,171.64,1.4,8.133916806298905e-06
NonResidential,Small- and Mid-Sized Office,CENTRAL,1962,1.0,2,54984,0.0,0.586106,0.413894,0.0,3375211.0,61.40000153,87.98,1.6,1.818710897715699e-05
NonResidential,Senior Care Community,SOUTHWEST,1922,1.0,5,217603,0.0,0.276331,0.723669,0.0,42792072.0,144.3999939,1727.11,7.94,4.595524877873926e-06
NonResidential,Senior Care Community,NORTHWEST,1970,1.0,2,93397,0.0,0.346257,0.653743,0.0,16402563.0,175.6000061,609.1,6.52,1.0706982022977183e-05
NonResidential,Hotel,LAKE UNION,2008,1.0,6,84103,0.246507,0.758935,0.241065,0.0,3706100.25,58.5,67.06,0.8,1.18901822764943e-05
NonResidential,Medical Office,EAST,1965,0.0,3,179014,0.0,0.591968,0.408032,0.0,16701055.0,93.30000305,430.84,2.41,5.586155272771962e-06
NonResidential,Hotel,EAST,1908,1.0,7,76631,0.0,0.366556,0.633444,0.0,7258758.5,94.69999695,262.75,3.43,1.304954913807728e-05
NonResidential,Mixed Use Property,EAST,1983,1.0,6,99780,0.093616,0.655674,0.0,0.344326,15473117.0,204.5,481.97,4.83,1.0022048506714773e-05
